SN 2004dt 2004 09 14.210 dd   53262.710  23.2 DUP WF 3800  9235  8.0 1800 1.35 0.063
SN 2004dt 2004 09 19.334 dd   53267.834  28.2 DUP WF 4530  9618  8.0 1800 1.20 0.109
SN 2004dt 2004 09 20.216 dd   53268.716  29.1 DUP WF 3800  9235  8.0 2400 1.25 0.059
SN 2004dt 2004 10 24.269      53302.769  62.5 CLA LD 3600  9000 14.0  900 1.30 0.062
SN 2004dt 2004 12 04.153 dg   53343.653 102.6 DUP WF 3800  9235  8.0 1800 1.28 0.216
SN 2004ef 2004 09 07.162 dg   53255.662  -8.0 DUP MS 3780  7323  2.5 4500 1.54 0.288
SN 2004ef 2004 09 08.182      53256.682  -7.1 CLA BC 4000  7183  1.6  600 1.52 0.045
SN 2004ef 2004 09 09.267 dg   53257.767  -6.0 CLA LD 3650  6850  4.2  200 1.92 0.299
SN 2004ef 2004 09 10.179      53258.679  -5.1 CLA BC 4000  7114  1.6  900 1.52 0.035
SN 2004ef 2004 09 14.110 dd   53262.610  -1.3 DUP WF 3800  9235  3.0 1800 1.63 0.038
SN 2004ef 2004 09 19.072 dd   53267.572   3.5 DUP WF 4530  9618  2.8 1800 1.77 0.044
SN 2004ef 2004 09 20.127 dd   53268.627   4.5 DUP WF 3800  9235  3.0 1800 1.53 0.051
SN 2004ef 2004 10 24.119 dg   53302.619  37.5 CLA LD 3600  9000  4.2  900 1.71 0.546
SN 2004eo 2004 09 19.025 dd   53267.525 -10.5 DUP WF 4530  9618  8.0 2700 1.32 0.033
SN 2004eo 2004 09 20.011 dd   53268.511  -9.6 DUP WF 3800  9235  8.0 3000 1.34 0.036
SN 2004eo 2004 10 25.022 dg   53303.522  24.9 CLA LD 3600  9000 14.0  900 1.40 0.231
SN 2004ey 2004 10 25.056      53303.556  -0.3 CLA LD 3600  9000 14.0  300 1.19 0.064
SN 2004ey 2004 11 26.056 dg   53335.556  31.2 CLA LD 3600  9000 14.0  900 1.70 0.162
SN 2004ey 2004 12 09.028      53348.528  43.9 DUP WF 3800  9235  8.0 1350 1.79 0.050
SN 2004ey 2004 12 13.028      53352.528  47.9 DUP WF 3800  9235  8.0 1800 1.96 0.042
SN 2004gc 2004 11 26.217      53335.717  10.8 CLA LD 3600  9000 14.0  900 1.24 0.084
SN 2004gc 2004 12 04.275 dg   53343.775  18.6 DUP WF 3800  9235  8.0 1500 1.32 0.189
SN 2004gc 2004 12 09.261      53348.761  23.5 DUP WF 3800  9235  8.0 2700 1.32 0.109
SN 2004gc 2004 12 19.208      53358.708  33.1 CLA LD 3600  9000 14.0  900 1.26 0.116
SN 2004gs 2004 12 13.258      53352.758  -3.1 DUP WF 3800  9235  8.0 1800 1.64 0.040
